iteracion,roc_auc,sensibilidad
0,0.0,0.0
1,78.12271154766879,81.12570356472796
2,78.96199060094925,82.46404002501563
3,79.37196745017647,83.9899937460913
4,79.26975443037875,83.95247029393371
5,79.4987062218161,83.66479049405878
6,79.55213843190259,83.3270794246404
7,79.52616336989941,83.11444652908068
8,79.59151474772221,83.41463414634146
9,79.61124029066445,83.35209505941214
10,79.61121248966187,83.18949343339587
11,79.71550575605858,83.30206378986867
12,79.69514181430426,83.16447779862413
13,79.7150802543979,83.15196998123827
14,79.77459634809834,83.22701688555347
15,79.80176992595524,83.23952470293933
16,79.83104028469164,83.10193871169481
17,79.85069881258553,83.10193871169481
18,79.90594672078322,83.17698561601
19,79.91721549138,83.22701688555347
20,79.94616950397115,83.33958724202627
21,79.95810783976714,83.30206378986867
22,79.98498819020726,83.2520325203252
23,79.99001285562257,83.18949343339587
24,80.00284887116005,83.21450906816762
25,80.01957936819704,83.27704815509694
26,80.0495762110274,83.31457160725454
27,80.05175595595145,83.26454033771107
28,80.0686844253911,83.26454033771107
29,80.0872648596688,83.2895559724828
30,80.08988590892868,83.20200125078175
31,80.11003256389961,83.23952470293933
32,80.13380095790257,83.4396497811132
33,80.14789299347281,83.67729831144464
34,80.15585154258764,83.70231394621639
35,80.16937058486242,83.62726704190119
36,80.17118262494695,83.66479049405878
37,80.17739849016266,83.62726704190119
38,80.17749711056132,83.67729831144464
39,80.19036414616485,83.63977485928706
40,80.19718709748447,83.70231394621639
41,80.20389240666681,83.66479049405878
42,80.2045065161819,83.60225140712946
43,80.2147917165713,83.52720450281426
44,80.22097553747349,83.53971232020012
45,80.23022376046633,83.56472795497186
46,80.23232302880393,83.55222013758599
47,80.23322846356193,83.55222013758599
48,80.23806847179162,83.58974358974359
49,80.24282478437141,83.56472795497186
50,80.24604648160827,83.48968105065666
51,80.24782750162676,83.47717323327079
52,80.2570050515446,83.50218886804252
53,80.25583989689397,83.52720450281426
54,80.25883947875228,83.51469668542839
55,80.26548450365532,83.40212632895559
56,80.2701158580445,83.40212632895559
57,80.27566493816127,83.364602876798
58,80.27555592896691,83.40212632895559
59,80.28059654337844,83.364602876798
60,80.28325870885793,83.37711069418387
61,80.2866036084326,83.364602876798
62,80.28931932742233,83.33958724202627
63,80.28917359164035,83.33958724202627
64,80.29253517181655,83.31457160725454
65,80.29551309815704,83.2520325203252
66,80.30011109134314,83.2520325203252
67,80.30502762549047,83.17698561601
68,80.30508586127483,83.21450906816762
69,80.30950431851264,83.26454033771107
70,80.31585494543036,83.23952470293933
71,80.31924739935155,83.21450906816762
72,80.32172446868225,83.18949343339587
73,80.32179470279404,83.18949343339587
74,80.32522300537647,83.10193871169481
75,80.32717961067448,83.12695434646655
76,80.32811899191985,83.11444652908068
77,80.33289959379663,83.10193871169481
78,80.33673671743817,83.10193871169481
79,80.3388168177161,83.10193871169481
80,80.34408408345925,83.1394621638524
81,80.34562484428696,83.11444652908068
82,80.34722267033048,83.11444652908068
83,80.34863788768334,83.15196998123827
84,80.35008368613903,83.1394621638524
85,80.35192528307896,83.1394621638524
86,80.35261855229088,83.1394621638524
87,80.35593213915736,83.12695434646655
88,80.35826303374284,83.11444652908068
89,80.35876842670571,83.1394621638524
90,80.36057519923186,83.1394621638524
91,80.35964576781899,83.15196998123827
92,80.36137118583231,83.16447779862413
93,80.36195851859227,83.11444652908068
94,80.36552553354551,83.16447779862413
95,80.36585856029231,83.10193871169481
96,80.36804079267448,83.11444652908068
97,80.36975860199234,83.08943089430895
98,80.371765249095,83.07692307692308
99,80.37215592634192,83.05190744215135
100,80.37542122725652,83.05190744215135
101,80.3772478994477,83.03939962476548
102,80.37700178741424,83.05190744215135
103,80.37792858504793,83.07692307692308
104,80.37908042448151,83.0644152595372
105,80.37966263600416,83.07692307692308
106,80.37973755239007,83.05190744215135
107,80.3809482128923,83.07692307692308
108,80.38409850544883,83.07692307692308
109,80.38652684986445,83.05190744215135
110,80.38732883562861,83.02689180737961
111,80.38650065839359,83.08943089430895
112,80.38736336740024,83.07692307692308
113,80.38915067922458,83.0644152595372
114,80.38855573776917,83.03939962476548
115,80.38935465079095,83.03939962476548
116,80.39018107217318,83.07692307692308
117,80.3900859634801,83.0644152595372
118,80.3896853364007,83.0644152595372
119,80.39085210058303,83.07692307692308
120,80.3905269751738,83.0644152595372
121,80.39027266916065,83.07692307692308
122,80.39101422432444,83.07692307692308
123,80.3929775603915,83.02689180737961
124,80.39294712560971,83.05190744215135
125,80.3923170670984,83.08943089430895
126,80.39221274017817,83.08943089430895
127,80.3929016197581,83.11444652908068
128,80.39266589652037,83.10193871169481
129,80.39350373094575,83.10193871169481
130,80.39413437474133,83.10193871169481
131,80.39459909044777,83.11444652908068
132,80.3970091447301,83.10193871169481
133,80.39813845071949,83.11444652908068
134,80.39811357613821,83.10193871169481
135,80.39842626425681,83.11444652908068
136,80.39820327095184,83.11444652908068
137,80.39846460037617,83.12695434646655
138,80.39901652343809,83.12695434646655
139,80.39975603010696,83.11444652908068
140,80.40067990131932,83.1394621638524
141,80.40011773578274,83.12695434646655
142,80.4011171086653,83.12695434646655
143,80.4015320752092,83.12695434646655
144,80.40151949159751,83.11444652908068
145,80.40183613038488,83.12695434646655
146,80.40102873074127,83.0644152595372
147,80.4017498009558,83.07692307692308
148,80.40206790295385,83.10193871169481
149,80.401865101956,83.08943089430895
150,80.40183217971611,83.11444652908068
